net,length_um
my_sum_sub.al_mb\[0\],23.34µm
my_sum_sub.cm_exp\[7\],23.34µm
net125,23.3µm
_1155_,23.28µm
my_sum_sub.al_ma\[6\],23.28µm
_1447_,23.14µm
_0731_,23.02µm
_0904_,22.92µm
_1092_,22.78µm
_1182_,22.72µm
_1471_,22.64µm
_1448_,22.6µm
_0919_,22.58µm
_0679_,22.5µm
_0989_,22.46µm
_0662_,22.42µm
net223,22.36µm
_0939_,22.32µm
_0843_,22.24µm
_0542_,22.2µm
_1249_,22.18µm
_1126_,22.04µm
net64,22.02µm
_1040_,21.96µm
net115,21.86µm
_0849_,21.8µm
net14,21.78µm
net95,21.64µm
_0496_,21.58µm
_0390_,21.46µm
_0543_,21.46µm
state\[3\],21.38µm
_1469_,21.22µm
_0941_,21.18µm
_1375_,21.16µm
_1033_,21.14µm
_0444_,21.08µm
shift_in\[3\],21.08µm
_1391_,21.06µm
net232,20.98µm
_0365_,20.96µm
my_sum_sub.start,20.96µm
net231,20.86µm
shift_in\[1\],20.85µm
net163,20.8µm
_0651_,20.76µm
_1132_,20.75µm
my_sum_sub.al_exp\[4\],20.74µm
_1446_,20.72µm
my_divider.divisor_reg\[6\],20.66µm
_0451_,20.64µm
_0646_,20.64µm
_0893_,20.62µm
_0926_,20.6µm
_1435_,20.6µm
_0877_,20.58µm
my_divider.counter\[1\],20.5µm
my_sum_sub.cm_exp\[3\],20.46µm
_1096_,20.44µm
_0816_,20.4µm
_1269_,20.24µm
net200,20.22µm
_0992_,20.2µm
net129,20.08µm
_0835_,20.04µm
my_sum_sub.cm_exp\[4\],20.04µm
my_divider.remainder_reg\[6\],20µm
net214,20µm
_0955_,19.94µm
_1462_,19.715µm
_0601_,19.7µm
_0882_,19.7µm
_0540_,19.64µm
_0754_,19.62µm
_1277_,19.62µm
net101,19.56µm
_0962_,19.5µm
_0432_,19.44µm
net167,19.34µm
_0450_,19.28µm
_1464_,19.24µm
_0831_,19.2µm
_0544_,19.12µm
_0744_,19.1µm
net305,19.06µm
bit_count\[0\],19.02µm
_0838_,18.98µm
net187,18.975µm
_0787_,18.96µm
net91,18.96µm
_0752_,18.82µm
_0753_,18.82µm
_1025_,18.82µm
_0288_,18.8µm
_0559_,18.8µm
_0528_,18.78µm
_1461_,18.76µm
net171,18.76µm
my_sum_sub.done,18.68µm
_1449_,18.66µm
_1346_,18.58µm
_0386_,18.52µm
net159,18.52µm
_0454_,18.48µm
_0883_,18.4µm
_1274_,18.4µm
op_reg\[1\],18.38µm
net33,18.33µm
_1075_,18.28µm
_0839_,18.22µm
_0282_,18.2µm
_0819_,18.19µm
_1052_,18.18µm
_0935_,18.12µm
my_divider.remainder_reg\[5\],18.1µm
_0864_,18.04µm
_1485_,18.02µm
_1205_,18.015µm
_1042_,17.98µm
_1328_,17.98µm
net81,17.96µm
_0746_,17.94µm
_0775_,17.94µm
_0866_,17.94µm
shift_in\[2\],17.93µm
net156,17.9µm
_0648_,17.82µm
_0654_,17.82µm
_0916_,17.82µm
_0298_,17.8µm
_0372_,17.8µm
_0704_,17.78µm
_0786_,17.78µm
_0366_,17.68µm
_0947_,17.675µm
_0715_,17.64µm
_0642_,17.56µm
my_divider.divisor_reg\[0\],17.54µm
_0458_,17.5µm
_1221_,17.5µm
_0760_,17.48µm
net121,17.46µm
_1045_,17.4µm
_1379_,17.355µm
_1426_,17.32µm
_0789_,17.28µm
_1206_,17.24µm
_1105_,17.16µm
_1432_,17.16µm
_1036_,17.08µm
_0784_,16.94µm
net138,16.94µm
_0983_,16.92µm
net154,16.865µm
_1298_,16.86µm
_1455_,16.84µm
net15,16.84µm
_1457_,16.78µm
_1325_,16.72µm
_0428_,16.7µm
shift_out\[6\],16.7µm
_0613_,16.68µm
_0625_,16.68µm
_1300_,16.68µm
_0795_,16.64µm
_0876_,16.64µm
_0737_,16.58µm
_0994_,16.58µm
_0918_,16.54µm
_0872_,16.52µm
_0452_,16.48µm
_0532_,16.46µm
_1131_,16.44µm
_0398_,16.41µm
_1119_,16.395µm
_0818_,16.38µm
shift_out\[11\],16.36µm
_0931_,16.34µm
_0424_,16.26µm
net291,16.22µm
_1076_,16.18µm
_0626_,16.14µm
_0560_,16.1µm
net85,16.08µm
_0850_,16.02µm
_0917_,16.02µm
_1122_,16.02µm
_1058_,15.96µm
_1477_,15.94µm
_0938_,15.88µm
_1135_,15.88µm
_1110_,15.86µm
_0509_,15.84µm
_1176_,15.8µm
_0842_,15.79µm
net152,15.78µm
_0436_,15.7µm
_0619_,15.67µm
_1196_,15.64µm
_0446_,15.6µm
_0829_,15.6µm
_0529_,15.56µm
_1357_,15.44µm
_0408_,15.425µm
_0396_,15.38µm
_0545_,15.38µm
_0200_,15.36µm
_0996_,15.34µm
_0272_,15.32µm
_0513_,15.28µm
_0791_,15.26µm
_1468_,15.26µm
div_quotient\[5\],15.26µm
_0980_,15.24µm
_0516_,15.22µm
net12,15.22µm
_0706_,15.2µm
_0733_,15.185µm
net219,15.14µm
_0624_,15.08µm
net49,15.08µm
_0840_,15.07µm
_0461_,15.06µm
_1085_,15.035µm
net146,15µm
net278,14.98µm
_0493_,14.92µm
_0673_,14.92µm
_1326_,14.9µm
my_divider.divisor_reg\[1\],14.9µm
_1180_,14.87µm
_0907_,14.86µm
_1165_,14.845µm
_1035_,14.82µm
_1120_,14.8µm
_0772_,14.78µm
net96,14.76µm
_0739_,14.745µm
_0890_,14.68µm
_1252_,14.68µm
_0571_,14.64µm
_0913_,14.64µm
_0561_,14.62µm
net13,14.6µm
_0605_,14.56µm
_0531_,14.46µm
_1195_,14.46µm
_0291_,14.42µm
_0747_,14.42µm
_1290_,14.4µm
_0525_,14.38µm
_0865_,14.38µm
_1353_,14.38µm
net258,14.36µm
_1095_,14.32µm
_0511_,14.3µm
_1444_,14.3µm
_1223_,14.24µm
my_sum_sub.al_mb\[7\],14.22µm
_0558_,14.18µm
_0995_,14.18µm
_0166_,14.17µm
_0993_,14.12µm
_0638_,14.1µm
_1072_,14.06µm
my_sum_sub.al_exp\[0\],14.04µm
net16,14µm
_0515_,13.99µm
net276,13.98µm
_1074_,13.97µm
_1382_,13.96µm
_0790_,13.92µm
shift_out\[15\],13.88µm
_1399_,13.86µm
_0682_,13.85µm
_0952_,13.84µm
_1336_,13.78µm
_1317_,13.76µm
_1386_,13.7µm
net281,13.68µm
_0569_,13.66µm
_0796_,13.66µm
state\[0\],13.65µm
_1476_,13.62µm
_0933_,13.6µm
_0402_,13.57µm
_0666_,13.54µm
_0930_,13.54µm
net217,13.52µm
_0448_,13.5µm
_0635_,13.5µm
_1487_,13.48µm
net51,13.48µm
my_sum_sub.al_exp\[6\],13.46µm
div_quotient\[0\],13.44µm
_0603_,13.42µm
net165,13.38µm
_0853_,13.22µm
net11,13.22µm
_0236_,13.2µm
_0330_,13.2µm
_0685_,13.2µm
_0987_,13.16µm
my_divider.remainder_reg\[3\],13.16µm
net225,13.16µm
_1307_,13.155µm
_0823_,13.15µm
net66,13.12µm
_0258_,13.1µm
_1299_,13.1µm
_0923_,13.08µm
_0801_,13.06µm
_0837_,13.04µm
_0527_,13µm
_1083_,12.98µm
_1268_,12.98µm
_0699_,12.94µm
_0749_,12.88µm
div_start,12.84µm
_1470_,12.8µm
_1393_,12.76µm
_0536_,12.74µm
_0824_,12.72µm
_1079_,12.72µm
_1308_,12.72µm
_0656_,12.7µm
net35,12.68µm
_0782_,12.62µm
_1316_,12.6µm
_1371_,12.6µm
net318,12.58µm
_0403_,12.54µm
_0869_,12.54µm
_0537_,12.42µm
ss_s0,12.39µm
_1318_,12.38µm
net42,12.38µm
net89,12.36µm
_1237_,12.34µm
_0774_,12.32µm
_0868_,12.32µm
_0896_,12.3µm
_0411_,12.28µm
_0523_,12.27µm
_0521_,12.26µm
_0517_,12.24µm
net224,12.24µm
_0443_,12.225µm
_0709_,12.22µm
_1041_,12.22µm
my_sum_sub.al_mb\[2\],12.22µm
_1034_,12.16µm
_1127_,12.16µm
_1411_,12.16µm
_0925_,12.08µm
_0242_,12.04µm
_0374_,12.04µm
_0714_,12.02µm
_0936_,11.94µm
_0832_,11.92µm
_1049_,11.9µm
_0514_,11.86µm
_0231_,11.84µm
_0329_,11.82µm
_0822_,11.78µm
_1243_,11.78µm
_1242_,11.76µm
my_sum_sub.result\[13\],11.74µm
_1408_,11.72µm
_0477_,11.7µm
_0494_,11.7µm
_1297_,11.7µm
_0903_,11.68µm
_0713_,11.66µm
_0780_,11.66µm
_1160_,11.66µm
net134,11.66µm
_0122_,11.65µm
_0845_,11.62µm
net44,11.62µm
_0717_,11.58µm
_0763_,11.58µm
_1428_,11.58µm
net79,11.58µm
_0391_,11.54µm
_1168_,11.52µm
_0367_,11.515µm
_0510_,11.5µm
_1431_,11.5µm
net17,11.46µm
_0460_,11.44µm
_0155_,11.43µm
_0847_,11.42µm
_1181_,11.42µm
my_sum_sub.result\[14\],11.42µm
_1032_,11.4µm
_0239_,11.38µm
_1294_,11.375µm
_0751_,11.37µm
_0340_,11.36µm
_0814_,11.34µm
_1410_,11.34µm
_0292_,11.32µm
shift_out\[12\],11.32µm
net19,11.32µm
_1385_,11.3µm
_0289_,11.28µm
_0347_,11.28µm
_1142_,11.28µm
_1059_,11.26µm
_1231_,11.26µm
_0199_,11.22µm
_0534_,11.22µm
_1121_,11.22µm
net292,11.2µm
_0414_,11.18µm
_0757_,11.16µm
net108,11.16µm
_0404_,11.12µm
_1194_,11.12µm
_0750_,11.08µm
_1451_,11.06µm
_0435_,11.02µm
_1338_,11µm
_1178_,10.96µm
_1138_,10.95µm
_0539_,10.94µm
_1125_,10.94µm
_1364_,10.94µm
_1429_,10.94µm
my_sum_sub.al_sb_eff,10.92µm
_0331_,10.9µm
_0575_,10.9µm
_1043_,10.9µm
_1068_,10.9µm
my_sum_sub.al_exp\[1\],10.9µm
shift_in\[8\],10.86µm
net1,10.86µm
_0671_,10.84µm
_0830_,10.84µm
_0881_,10.82µm
_1134_,10.82µm
_1388_,10.8µm
_0001_,10.78µm
_0920_,10.78µm
_1130_,10.78µm
net124,10.78µm
net317,10.78µm
_0300_,10.76µm
_0797_,10.74µm
_0332_,10.68µm
_0632_,10.66µm
_1201_,10.66µm
_0553_,10.64µm
_0781_,10.635µm
_0541_,10.62µm
_0805_,10.62µm
_0535_,10.58µm
_0401_,10.565µm
_1442_,10.56µm
_1337_,10.555µm
_0051_,10.54µm
my_mul.reg1en.d\[0\],10.54µm
_0524_,10.52µm
_0960_,10.505µm
_0614_,10.46µm
_1094_,10.46µm
_0639_,10.44µm
_0924_,10.44µm
_1260_,10.44µm
net180,10.44µm
_1370_,10.42µm
