net,length_um
sclk_s0,6.64µm
_0735_,6.62µm
_1167_,6.62µm
_1440_,6.62µm
_0548_,6.6µm
_0758_,6.6µm
_1240_,6.6µm
_0018_,6.55µm
_1145_,6.54µm
_0142_,6.52µm
_0874_,6.52µm
_1247_,6.52µm
_1253_,6.52µm
_1334_,6.52µm
shift_out\[5\],6.52µm
shift_out\[9\],6.52µm
_0620_,6.5µm
_0977_,6.5µm
_0533_,6.48µm
net175,6.48µm
_0257_,6.44µm
_0718_,6.44µm
_0106_,6.43µm
_1396_,6.38µm
net41,6.38µm
net293,6.38µm
_0013_,6.37µm
_0150_,6.37µm
_0041_,6.35µm
_0232_,6.32µm
_0275_,6.32µm
_0449_,6.3µm
_0576_,6.3µm
_1018_,6.3µm
_1118_,6.3µm
shift_out\[13\],6.3µm
net73,6.3µm
_0278_,6.26µm
_0431_,6.26µm
_0479_,6.26µm
_1273_,6.26µm
_1377_,6.26µm
_0694_,6.2µm
_0771_,6.2µm
_0976_,6.2µm
_0047_,6.19µm
_0562_,6.18µm
_1266_,6.18µm
_1419_,6.18µm
net141,6.18µm
_0393_,6.16µm
_0225_,6.14µm
_0413_,6.14µm
_0689_,6.14µm
_1311_,6.14µm
net31,6.14µm
net63,6.14µm
net298,6.14µm
_0550_,6.1µm
_0429_,6.06µm
_0711_,6.06µm
_0722_,6.06µm
_1202_,6.06µm
shift_in\[15\],6.06µm
net243,6.04µm
_1295_,6µm
_0773_,5.96µm
_1255_,5.96µm
net71,5.96µm
net118,5.96µm
net132,5.96µm
net242,5.96µm
_0043_,5.95µm
_0108_,5.95µm
_0293_,5.94µm
bit_count\[1\],5.94µm
_0557_,5.92µm
_1304_,5.92µm
net245,5.92µm
_0195_,5.89µm
_0371_,5.86µm
_1347_,5.86µm
_0306_,5.84µm
_1390_,5.84µm
_1402_,5.84µm
shift_in\[11\],5.84µm
net149,5.84µm
net215,5.84µm
net246,5.84µm
_0123_,5.8µm
_0283_,5.8µm
_0320_,5.8µm
_0353_,5.8µm
_0357_,5.8µm
_0492_,5.8µm
_0915_,5.8µm
_1129_,5.8µm
_1281_,5.8µm
net186,5.8µm
_1363_,5.74µm
_0146_,5.72µm
_0230_,5.72µm
_0657_,5.72µm
_0875_,5.72µm
_1115_,5.72µm
_1389_,5.72µm
_1409_,5.72µm
_1192_,5.7µm
_0406_,5.68µm
_0464_,5.68µm
_0585_,5.68µm
_0859_,5.68µm
_0906_,5.68µm
_0946_,5.68µm
_1106_,5.68µm
net268,5.68µm
_0627_,5.6µm
_1225_,5.6µm
_1333_,5.6µm
net251,5.58µm
_0518_,5.57µm
_0189_,5.53µm
net84,5.52µm
_1224_,5.51µm
_0062_,5.49µm
_0076_,5.48µm
_0997_,5.48µm
_1175_,5.48µm
_1356_,5.48µm
net222,5.48µm
_0296_,5.46µm
_0645_,5.46µm
_0959_,5.46µm
_1012_,5.46µm
net227,5.46µm
_0144_,5.44µm
_0841_,5.44µm
_1472_,5.44µm
_0137_,5.43µm
_0202_,5.38µm
_0250_,5.38µm
_0317_,5.38µm
_0945_,5.38µm
_0998_,5.38µm
_1366_,5.38µm
net61,5.38µm
_1219_,5.36µm
_1359_,5.36µm
_1397_,5.36µm
net25,5.36µm
_0342_,5.34µm
_0467_,5.34µm
_0565_,5.34µm
_0696_,5.34µm
_1245_,5.34µm
_1265_,5.34µm
my_sum_sub.al_exp\[7\],5.34µm
net58,5.34µm
net177,5.34µm
_0381_,5.295µm
_0215_,5.26µm
_1270_,5.26µm
_1278_,5.26µm
_1445_,5.26µm
_0010_,5.225µm
_0354_,5.225µm
_0914_,5.22µm
_0688_,5.16µm
_1197_,5.16µm
_1452_,5.16µm
_1185_,5.145µm
_0636_,5.14µm
_0794_,5.14µm
net144,5.14µm
net166,5.14µm
_1007_,5.12µm
_0171_,5.1µm
_0201_,5.1µm
_0187_,5.07µm
_1279_,5.06µm
_0209_,5.04µm
net45,5.04µm
_0512_,5.02µm
_0670_,5µm
net183,5µm
net267,5µm
_0131_,4.99µm
_0036_,4.97µm
_0037_,4.97µm
_0295_,4.94µm
_0712_,4.94µm
_0856_,4.94µm
_1054_,4.94µm
_1315_,4.94µm
_1415_,4.94µm
net286,4.94µm
_0063_,4.92µm
_0310_,4.92µm
_0323_,4.92µm
_0337_,4.92µm
_0621_,4.92µm
_0988_,4.92µm
_1030_,4.92µm
_1169_,4.92µm
_1345_,4.92µm
my_sum_sub.result\[9\],4.92µm
_1174_,4.9µm
_1177_,4.9µm
net23,4.9µm
_0003_,4.88µm
_0011_,4.88µm
_0234_,4.88µm
_0235_,4.88µm
_0290_,4.88µm
_0352_,4.88µm
_0484_,4.88µm
_0489_,4.88µm
_0640_,4.88µm
_0911_,4.88µm
_1193_,4.88µm
shift_in\[10\],4.88µm
net120,4.88µm
_0038_,4.87µm
_0064_,4.87µm
_0125_,4.87µm
_0132_,4.87µm
_0163_,4.87µm
_0937_,4.815µm
_0567_,4.8µm
_0584_,4.8µm
_0978_,4.8µm
_1191_,4.8µm
net264,4.8µm
_0165_,4.78µm
_0833_,4.78µm
_0149_,4.76µm
_0427_,4.76µm
_0615_,4.76µm
_0634_,4.76µm
_0851_,4.76µm
_1378_,4.76µm
net266,4.76µm
_0112_,4.68µm
_0563_,4.68µm
_0975_,4.68µm
_1441_,4.68µm
_0777_,4.66µm
_0017_,4.61µm
_0082_,4.61µm
_0087_,4.61µm
_0104_,4.61µm
mosi,4.61µm
ss,4.61µm
_0687_,4.6µm
_1187_,4.6µm
bit_count\[3\],4.6µm
_0701_,4.58µm
net55,4.58µm
_0343_,4.57µm
_1361_,4.56µm
_0151_,4.54µm
_0193_,4.54µm
_0377_,4.54µm
_0990_,4.54µm
_1303_,4.54µm
net162,4.54µm
_1416_,4.49µm
_0551_,4.48µm
_0591_,4.48µm
_0226_,4.46µm
_0245_,4.46µm
_0265_,4.46µm
_0297_,4.46µm
_0455_,4.46µm
_0530_,4.46µm
_0664_,4.46µm
_0891_,4.46µm
_1257_,4.46µm
my_sum_sub.al_exp\[3\],4.46µm
my_sum_sub.result\[11\],4.46µm
net21,4.46µm
net296,4.46µm
net313,4.46µm
_0124_,4.42µm
_0152_,4.42µm
_0172_,4.42µm
_0185_,4.42µm
_0254_,4.42µm
_0474_,4.42µm
_1039_,4.42µm
my_divider.counter\[3\],4.42µm
my_sum_sub.al_mb\[4\],4.42µm
net67,4.42µm
net316,4.42µm
_0277_,4.34µm
_0326_,4.34µm
_0375_,4.34µm
_0899_,4.34µm
_1482_,4.34µm
my_sum_sub.al_mb\[3\],4.34µm
net210,4.34µm
net256,4.34µm
_0045_,4.27µm
_1323_,4.25µm
_0333_,4.24µm
_0719_,4.24µm
_1421_,4.24µm
net311,4.24µm
_0214_,4.22µm
_0745_,4.22µm
_1050_,4.22µm
_0101_,4.15µm
_1310_,4.14µm
my_divider.remainder_reg\[1\],4.14µm
net181,4.14µm
net188,4.14µm
_0015_,4.12µm
_0210_,4.12µm
_0219_,4.12µm
_0846_,4.12µm
_0889_,4.1µm
my_sum_sub.result\[10\],4.1µm
my_sum_sub.result\[5\],4.1µm
_0091_,4.08µm
_0100_,4.08µm
_0281_,4.08µm
net265,4.08µm
_0592_,4.02µm
_0692_,4.02µm
_0252_,4µm
_0299_,4µm
_0305_,4µm
_0307_,4µm
_0341_,4µm
_0387_,4µm
_0497_,4µm
_0678_,4µm
_1123_,4µm
_1351_,4µm
_1354_,4µm
_1418_,4µm
net57,4µm
net143,4µm
net226,4µm
_1262_,3.98µm
_1258_,3.9µm
_1302_,3.9µm
_0006_,3.88µm
_0186_,3.88µm
_0383_,3.88µm
_0710_,3.88µm
_0985_,3.88µm
_1013_,3.88µm
_1061_,3.88µm
_1111_,3.88µm
_1113_,3.88µm
_1330_,3.88µm
net269,3.88µm
_0208_,3.86µm
_0568_,3.86µm
_0672_,3.78µm
_1292_,3.78µm
_1404_,3.78µm
net136,3.78µm
_0120_,3.76µm
_0153_,3.76µm
_1156_,3.76µm
_1305_,3.76µm
_0074_,3.69µm
_0096_,3.69µm
_0194_,3.69µm
_0237_,3.68µm
_0004_,3.66µm
_0286_,3.66µm
_0358_,3.66µm
net50,3.66µm
_1319_,3.64µm
net253,3.64µm
_0119_,3.61µm
_1267_,3.6µm
_0081_,3.59µm
_0114_,3.59µm
_0507_,3.57µm
_0319_,3.565µm
_0334_,3.56µm
_0586_,3.56µm
_1114_,3.56µm
_1493_,3.56µm
_0023_,3.54µm
_0211_,3.54µm
_0213_,3.54µm
_0241_,3.54µm
_0264_,3.54µm
_0335_,3.54µm
_0578_,3.54µm
_0663_,3.54µm
_0940_,3.54µm
_1028_,3.54µm
_1204_,3.54µm
_1392_,3.54µm
net60,3.54µm
net111,3.54µm
net151,3.54µm
net153,3.54µm
net195,3.54µm
_0157_,3.45µm
_0738_,3.44µm
_0472_,3.42µm
_0610_,3.42µm
_0732_,3.42µm
_1006_,3.42µm
_1143_,3.42µm
net76,3.42µm
_0033_,3.4µm
_0420_,3.3µm
_1003_,3.3µm
shift_out\[10\],3.3µm
net47,3.3µm
_0168_,3.23µm
_0311_,3.22µm
_0312_,3.22µm
_1011_,3.22µm
div_quotient\[6\],3.22µm
mosi_s1,3.22µm
my_sum_sub.result\[0\],3.22µm
my_sum_sub.result\[1\],3.22µm
my_sum_sub.result\[2\],3.22µm
sclk_s1,3.22µm
net314,3.22µm
_0084_,3.2µm
_0328_,3.2µm
_0487_,3.2µm
net109,3.2µm
net244,3.2µm
net277,3.2µm
_0111_,3.18µm
_0932_,3.18µm
_0069_,3.15µm
_0162_,3.15µm
_0032_,3.13µm
_0175_,3.13µm
net147,3.105µm
_0376_,3.1µm
_0644_,3.1µm
_0981_,3.1µm
_1000_,3.1µm
_1029_,3.1µm
_1327_,3.1µm
_1343_,3.1µm
_0218_,3.08µm
_0229_,3.08µm
_0271_,3.08µm
_0304_,3.08µm
_0943_,3.08µm
_1101_,3.08µm
_1229_,3.08µm
_1251_,3.08µm
bit_count\[4\],3.08µm
net43,3.08µm
net80,3.08µm
net128,3.08µm
net164,3.08µm
net208,3.08µm
_0437_,3.06µm
_0035_,3.03µm
_1208_,2.98µm
_1008_,2.96µm
_1104_,2.96µm
_1151_,2.96µm
_1322_,2.96µm
_1372_,2.96µm
net3,2.96µm
net38,2.96µm
net54,2.96µm
net160,2.96µm
net289,2.96µm
net145,2.925µm
net172,2.925µm
_0884_,2.86µm
my_sum_sub.state\[0\],2.85µm
_0050_,2.84µm
_0079_,2.84µm
_0102_,2.84µm
_0109_,2.84µm
_0121_,2.84µm
_0133_,2.84µm
_0134_,2.84µm
_0135_,2.84µm
_0164_,2.84µm
_0179_,2.84µm
_0182_,2.84µm
_0327_,2.84µm
_0349_,2.84µm
_0892_,2.84µm
net139,2.84µm
_0026_,2.77µm
_0107_,2.77µm
_0161_,2.77µm
_0834_,2.76µm
_0848_,2.76µm
_1027_,2.76µm
_1227_,2.76µm
net70,2.76µm
net140,2.76µm
net307,2.76µm
_0030_,2.74µm
_0031_,2.74µm
_0196_,2.74µm
_0212_,2.74µm
_0217_,2.74µm
_0339_,2.74µm
_1020_,2.74µm
net36,2.74µm
net75,2.74µm
net199,2.74µm
net212,2.74µm
net287,2.74µm
_0025_,2.69µm
_0086_,2.69µm
_0093_,2.69µm
_0147_,2.69µm
_0156_,2.69µm
_0094_,2.67µm
_0192_,2.67µm
_0301_,2.64µm
_0338_,2.64µm
_0577_,2.64µm
_0598_,2.64µm
_0858_,2.64µm
_0949_,2.64µm
_1031_,2.64µm
_1401_,2.64µm
_1424_,2.64µm
_0115_,2.62µm
_0228_,2.62µm
_0268_,2.62µm
_0276_,2.62µm
_0284_,2.62µm
_0287_,2.62µm
_0336_,2.62µm
_0356_,2.62µm
_0434_,2.62µm
_0686_,2.62µm
_0878_,2.62µm
_1010_,2.62µm
_1236_,2.62µm
_1348_,2.62µm
div_quotient\[2\],2.62µm
div_quotient\[3\],2.62µm
mosi_s0,2.62µm
shift_in\[0\],2.62µm
shift_in\[14\],2.62µm
shift_in\[7\],2.62µm
shift_in\[9\],2.62µm
net27,2.62µm
net189,2.62µm
_0419_,2.52µm
_0778_,2.52µm
_0965_,2.52µm
_0968_,2.52µm
_0016_,2.5µm
_0088_,2.5µm
_0158_,2.5µm
_0159_,2.5µm
_0378_,2.5µm
_0596_,2.5µm
_0691_,2.5µm
_0825_,2.5µm
_0898_,2.5µm
_0927_,2.5µm
_1078_,2.5µm
_1184_,2.5µm
_1339_,2.5µm
net185,2.5µm
net205,2.5µm
net261,2.5µm
net271,2.5µm
_0602_,2.4µm
_1015_,2.4µm
_0034_,2.38µm
_0053_,2.38µm
_0054_,2.38µm
_0056_,2.38µm
_0057_,2.38µm
_0065_,2.38µm
_0077_,2.38µm
_0078_,2.38µm
_0095_,2.38µm
_0117_,2.38µm
_0127_,2.38µm
_0141_,2.38µm
_0148_,2.38µm
_0184_,2.38µm
_0188_,2.38µm
_0191_,2.38µm
net39,2.38µm
net32,2.305µm
net240,2.305µm
_0370_,2.3µm
_0410_,2.3µm
_1148_,2.3µm
_1296_,2.3µm
_1456_,2.3µm
net86,2.3µm
net192,2.3µm
net312,2.3µm
_0221_,2.28µm
_0279_,2.28µm
_0302_,2.28µm
_1241_,2.28µm
net230,2.28µm
net234,2.28µm
net248,2.28µm
net290,2.28µm
_0021_,2.23µm
_0022_,2.23µm
_0024_,2.23µm
_0028_,2.23µm
_0048_,2.23µm
_0058_,2.23µm
_0083_,2.23µm
_0116_,2.23µm
_0129_,2.23µm
_0130_,2.23µm
_0139_,2.23µm
_0029_,2.21µm
_0099_,2.21µm
_0181_,2.21µm
_0285_,2.18µm
_0303_,2.18µm
_0579_,2.18µm
_1048_,2.18µm
_1309_,2.18µm
_1436_,2.18µm
net300,2.18µm
_0027_,2.16µm
_0040_,2.16µm
_0080_,2.16µm
_0160_,2.16µm
_0198_,2.16µm
_0238_,2.16µm
_0308_,2.16µm
_0322_,2.16µm
_0440_,2.16µm
_0581_,2.16µm
_0589_,2.16µm
_0609_,2.16µm
_0617_,2.16µm
_0669_,2.16µm
_0944_,2.16µm
_1198_,2.16µm
_1230_,2.16µm
_1350_,2.16µm
_1387_,2.16µm
_1466_,2.16µm
_1491_,2.16µm
shift_in\[6\],2.16µm
shift_out\[7\],2.16µm
shift_out\[8\],2.16µm
net28,2.16µm
net29,2.16µm
net62,2.16µm
net201,2.16µm
_1285_,2.06µm
state\[1\],2.06µm
_0055_,2.04µm
_0176_,2.04µm
_0363_,2.04µm
_0447_,2.04µm
_0468_,2.04µm
_0483_,2.04µm
_0631_,2.04µm
_0764_,2.04µm
_0767_,2.04µm
_0863_,2.04µm
_1215_,2.04µm
_1329_,2.04µm
_1365_,2.04µm
_1368_,2.04µm
_1417_,2.04µm
_1460_,2.04µm
shift_in\[13\],2.04µm
net9,2.04µm
_0488_,1.94µm
_1019_,1.94µm
net6,1.94µm
net299,1.85µm
_0350_,1.84µm
_0478_,1.84µm
_0655_,1.84µm
shift_in\[12\],1.84µm
net65,1.84µm
net69,1.84µm
net82,1.84µm
net94,1.84µm
net107,1.84µm
net114,1.84µm
net116,1.84µm
net255,1.84µm
net294,1.84µm
_0019_,1.82µm
_0046_,1.82µm
_0070_,1.82µm
_0118_,1.82µm
_0128_,1.82µm
_0154_,1.82µm
_0174_,1.82µm
_0204_,1.82µm
_0205_,1.82µm
_0206_,1.82µm
_0346_,1.82µm
_0873_,1.82µm
net135,1.82µm
net137,1.82µm
net184,1.82µm
net203,1.82µm
net250,1.82µm
net259,1.82µm
_0052_,1.75µm
_0097_,1.75µm
_1384_,1.72µm
_0068_,1.7µm
_0072_,1.7µm
_0075_,1.7µm
_0173_,1.7µm
_0177_,1.7µm
_0233_,1.7µm
_0243_,1.7µm
_0345_,1.7µm
_0503_,1.7µm
_0508_,1.7µm
_0566_,1.7µm
_0570_,1.7µm
_0792_,1.7µm
_0895_,1.7µm
_1038_,1.7µm
_1149_,1.7µm
_1172_,1.7µm
_1271_,1.7µm
_1395_,1.7µm
_1414_,1.7µm
shift_out\[14\],1.7µm
shift_out\[1\],1.7µm
shift_out\[2\],1.7µm
net155,1.7µm
net197,1.7µm
net238,1.7µm
net263,1.7µm
net272,1.7µm
net304,1.7µm
net102,1.545µm
_0394_,1.48µm
_0573_,1.48µm
_0647_,1.48µm
net74,1.48µm
_0473_,1.38µm
_0582_,1.38µm
_0817_,1.38µm
_0901_,1.38µm
_1108_,1.38µm
_1301_,1.38µm
net204,1.38µm
_0012_,1.36µm
_0020_,1.36µm
_0039_,1.36µm
_0049_,1.36µm
_0059_,1.36µm
_0085_,1.36µm
_0092_,1.36µm
_0098_,1.36µm
_0105_,1.36µm
_0136_,1.36µm
_0140_,1.36µm
_0178_,1.36µm
_0190_,1.36µm
_0220_,1.36µm
_0321_,1.36µm
_1046_,1.36µm
net90,1.36µm
net99,1.36µm
net130,1.36µm
net228,1.36µm
net275,1.36µm
_0251_,1.26µm
_0255_,1.26µm
_0260_,1.26µm
_0574_,1.26µm
_0583_,1.26µm
_1021_,1.26µm
_1044_,1.26µm
_1453_,1.26µm
_1486_,1.26µm
_0270_,1.14µm
_0661_,1.14µm
_1139_,1.14µm
_0547_,1.095µm
_0597_,1.085µm
_1400_,0.98µm
_0008_,0.92µm
_0294_,0.92µm
_0315_,0.92µm
_0395_,0.92µm
_0653_,0.92µm
_0693_,0.92µm
_0809_,0.92µm
_0963_,0.92µm
_1275_,0.92µm
_1398_,0.92µm
_1439_,0.92µm
_0197_,0.8µm
_0207_,0.8µm
_0222_,0.8µm
_0240_,0.8µm
_0249_,0.8µm
_0259_,0.8µm
_0325_,0.8µm
_0389_,0.8µm
_0860_,0.8µm
_1009_,0.8µm
_0223_,0.46µm
_0224_,0.46µm
_0309_,0.46µm
_0313_,0.46µm
_0590_,0.46µm
_1186_,0.46µm
_1313_,0.46µm
my_divider.counter\[2\],0.46µm
my_divider.state,0.46µm
shift_out\[4\],0.46µm
net40,0.46µm
