Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_60_280,VGND,li1,135.0100,174.0800,0.000000
FILLER_60_277,VGND,li1,133.6300,174.0800,0.000000
FILLER_60_274,VGND,li1,132.2500,174.0800,0.000000
FILLER_60_271,VGND,li1,130.8700,174.0800,0.000000
FILLER_60_268,VGND,li1,129.4900,174.0800,0.000000
FILLER_60_265,VGND,li1,128.1100,174.0800,0.000000
FILLER_60_262,VGND,li1,126.7300,174.0800,0.000000
FILLER_60_259,VGND,li1,125.3500,174.0800,0.000000
FILLER_60_256,VGND,li1,123.9700,174.0800,0.000000
FILLER_60_253,VGND,li1,122.5900,174.0800,0.000000
FILLER_60_251,VGND,li1,121.2100,174.0800,0.000000
FILLER_60_248,VGND,li1,120.2900,174.0800,0.000000
FILLER_60_223,VGND,li1,108.3300,174.0800,0.000000
FILLER_60_220,VGND,li1,107.4100,174.0800,0.000000
FILLER_60_212,VGND,li1,103.5000,174.0800,0.000000
FILLER_60_203,VGND,li1,99.3600,174.0800,0.000000
FILLER_60_197,VGND,li1,96.8300,174.0800,0.000000
FILLER_60_195,VGND,li1,95.4500,174.0800,0.000000
FILLER_60_192,VGND,li1,94.5300,174.0800,0.000000
FILLER_60_183,VGND,li1,89.9300,174.0800,0.000000
FILLER_60_180,VGND,li1,89.0100,174.0800,0.000000
FILLER_60_177,VGND,li1,87.6300,174.0800,0.000000
FILLER_60_159,VGND,li1,78.8900,174.0800,0.000000
FILLER_60_156,VGND,li1,77.9700,174.0800,0.000000
FILLER_60_141,VGND,li1,71.0700,174.0800,0.000000
FILLER_60_137,VGND,li1,69.2300,174.0800,0.000000
FILLER_60_134,VGND,li1,67.8500,174.0800,0.000000
FILLER_60_124,VGND,li1,62.7900,174.0800,0.000000
FILLER_60_121,VGND,li1,61.8700,174.0800,0.000000
FILLER_60_118,VGND,li1,60.4900,174.0800,0.000000
FILLER_60_90,VGND,li1,47.1500,174.0800,0.000000
FILLER_60_79,VGND,li1,42.0900,174.0800,0.000000
FILLER_60_64,VGND,li1,35.1900,174.0800,0.000000
FILLER_60_61,VGND,li1,34.2700,174.0800,0.000000
FILLER_60_58,VGND,li1,32.8900,174.0800,0.000000
FILLER_60_55,VGND,li1,31.5100,174.0800,0.000000
FILLER_60_52,VGND,li1,30.1300,174.0800,0.000000
FILLER_60_48,VGND,li1,27.8300,174.0800,0.000000
FILLER_60_45,VGND,li1,26.9100,174.0800,0.000000
FILLER_60_21,VGND,li1,15.6400,174.0800,0.000000
FILLER_60_18,VGND,li1,14.4900,174.0800,0.000000
FILLER_60_15,VGND,li1,13.1100,174.0800,0.000000
FILLER_60_12,VGND,li1,11.7300,174.0800,0.000000
FILLER_60_9,VGND,li1,10.3500,174.0800,0.000000
FILLER_60_6,VGND,li1,8.9700,174.0800,0.000000
FILLER_60_3,VGND,li1,7.5900,174.0800,0.000000
FILLER_59_367,VGND,li1,175.0300,174.0800,0.000000
FILLER_59_364,VGND,li1,173.6500,174.0800,0.000000
FILLER_59_361,VGND,li1,172.2700,174.0800,0.000000
FILLER_59_358,VGND,li1,170.8900,174.0800,0.000000
FILLER_59_355,VGND,li1,169.5100,174.0800,0.000000
FILLER_59_352,VGND,li1,168.1300,174.0800,0.000000
FILLER_59_349,VGND,li1,166.7500,174.0800,0.000000
FILLER_59_346,VGND,li1,165.3700,174.0800,0.000000
FILLER_59_343,VGND,li1,163.9900,174.0800,0.000000
FILLER_59_340,VGND,li1,162.6100,174.0800,0.000000
FILLER_59_337,VGND,li1,161.2300,174.0800,0.000000
FILLER_59_335,VGND,li1,159.8500,174.0800,0.000000
FILLER_59_332,VGND,li1,158.9300,174.0800,0.000000
FILLER_59_329,VGND,li1,157.5500,174.0800,0.000000
FILLER_59_326,VGND,li1,156.1700,174.0800,0.000000
FILLER_59_323,VGND,li1,154.7900,174.0800,0.000000
FILLER_59_320,VGND,li1,153.4100,174.0800,0.000000
FILLER_59_317,VGND,li1,152.0300,174.0800,0.000000
FILLER_59_314,VGND,li1,150.6500,174.0800,0.000000
FILLER_59_311,VGND,li1,149.2700,174.0800,0.000000
FILLER_59_308,VGND,li1,147.8900,174.0800,0.000000
FILLER_59_305,VGND,li1,146.5100,174.0800,0.000000
FILLER_59_302,VGND,li1,145.1300,174.0800,0.000000
FILLER_59_299,VGND,li1,143.7500,174.0800,0.000000
FILLER_59_296,VGND,li1,142.3700,174.0800,0.000000
FILLER_59_293,VGND,li1,140.9900,174.0800,0.000000
FILLER_59_290,VGND,li1,139.6100,174.0800,0.000000
FILLER_59_287,VGND,li1,138.2300,174.0800,0.000000
FILLER_59_284,VGND,li1,136.8500,174.0800,0.000000
FILLER_59_281,VGND,li1,135.4700,174.0800,0.000000
FILLER_59_278,VGND,li1,133.8600,174.0800,0.000000
FILLER_59_275,VGND,li1,132.7100,174.0800,0.000000
FILLER_59_272,VGND,li1,131.3300,174.0800,0.000000
FILLER_59_269,VGND,li1,129.9500,174.0800,0.000000
FILLER_59_266,VGND,li1,128.5700,174.0800,0.000000
FILLER_59_263,VGND,li1,127.1900,174.0800,0.000000
FILLER_59_260,VGND,li1,125.8100,174.0800,0.000000
FILLER_59_257,VGND,li1,124.4300,174.0800,0.000000
FILLER_59_254,VGND,li1,123.0500,174.0800,0.000000
FILLER_59_251,VGND,li1,121.6700,174.0800,0.000000
FILLER_59_248,VGND,li1,120.2900,174.0800,0.000000
FILLER_59_245,VGND,li1,118.9100,174.0800,0.000000
FILLER_59_242,VGND,li1,117.5300,174.0800,0.000000
FILLER_59_236,VGND,li1,114.7700,174.0800,0.000000
FILLER_59_233,VGND,li1,113.3900,174.0800,0.000000
FILLER_59_230,VGND,li1,112.0100,174.0800,0.000000
FILLER_59_225,VGND,li1,109.4800,174.0800,0.000000
FILLER_59_221,VGND,li1,107.8700,174.0800,0.000000
FILLER_59_218,VGND,li1,106.4900,174.0800,0.000000
FILLER_59_215,VGND,li1,105.1100,174.0800,0.000000
FILLER_59_212,VGND,li1,103.7300,174.0800,0.000000
FILLER_59_209,VGND,li1,102.3500,174.0800,0.000000
FILLER_59_199,VGND,li1,97.7500,174.0800,0.000000
FILLER_59_196,VGND,li1,96.3700,174.0800,0.000000
FILLER_59_193,VGND,li1,94.9900,174.0800,0.000000
FILLER_59_190,VGND,li1,93.6100,174.0800,0.000000
FILLER_59_187,VGND,li1,92.2300,174.0800,0.000000
FILLER_59_184,VGND,li1,90.8500,174.0800,0.000000
FILLER_59_181,VGND,li1,89.4700,174.0800,0.000000
FILLER_59_178,VGND,li1,88.0900,174.0800,0.000000
FILLER_59_175,VGND,li1,86.7100,174.0800,0.000000
FILLER_59_172,VGND,li1,85.3300,174.0800,0.000000
FILLER_59_169,VGND,li1,83.9500,174.0800,0.000000
FILLER_59_166,VGND,li1,82.3400,174.0800,0.000000
FILLER_59_163,VGND,li1,81.1900,174.0800,0.000000
FILLER_59_160,VGND,li1,79.8100,174.0800,0.000000
FILLER_59_157,VGND,li1,78.4300,174.0800,0.000000
FILLER_59_154,VGND,li1,77.0500,174.0800,0.000000
FILLER_59_151,VGND,li1,75.6700,174.0800,0.000000
FILLER_59_143,VGND,li1,71.9900,174.0800,0.000000
FILLER_59_140,VGND,li1,70.6100,174.0800,0.000000
FILLER_59_137,VGND,li1,69.2300,174.0800,0.000000
FILLER_59_126,VGND,li1,63.7100,174.0800,0.000000
FILLER_59_123,VGND,li1,62.7900,174.0800,0.000000
FILLER_59_120,VGND,li1,61.4100,174.0800,0.000000
FILLER_59_100,VGND,li1,51.9800,174.0800,0.000000
FILLER_59_97,VGND,li1,50.8300,174.0800,0.000000
FILLER_59_87,VGND,li1,46.0000,174.0800,0.000000
FILLER_59_84,VGND,li1,44.8500,174.0800,0.000000
FILLER_59_81,VGND,li1,43.4700,174.0800,0.000000
FILLER_59_78,VGND,li1,42.0900,174.0800,0.000000
FILLER_59_75,VGND,li1,40.7100,174.0800,0.000000
FILLER_59_69,VGND,li1,37.4900,174.0800,0.000000
FILLER_59_66,VGND,li1,36.5700,174.0800,0.000000
FILLER_59_63,VGND,li1,35.1900,174.0800,0.000000
FILLER_59_60,VGND,li1,33.8100,174.0800,0.000000
FILLER_59_57,VGND,li1,32.4300,174.0800,0.000000
FILLER_59_53,VGND,li1,30.5900,174.0800,0.000000
FILLER_59_47,VGND,li1,27.6000,174.0800,0.000000
FILLER_59_44,VGND,li1,26.4500,174.0800,0.000000
FILLER_59_41,VGND,li1,25.0700,174.0800,0.000000
FILLER_59_38,VGND,li1,23.6900,174.0800,0.000000
FILLER_59_30,VGND,li1,19.7800,174.0800,0.000000
FILLER_59_27,VGND,li1,18.6300,174.0800,0.000000
FILLER_59_24,VGND,li1,17.2500,174.0800,0.000000
FILLER_59_21,VGND,li1,15.8700,174.0800,0.000000
FILLER_59_18,VGND,li1,14.4900,174.0800,0.000000
FILLER_59_15,VGND,li1,13.1100,174.0800,0.000000
FILLER_59_12,VGND,li1,11.7300,174.0800,0.000000
FILLER_59_9,VGND,li1,10.3500,174.0800,0.000000
FILLER_59_6,VGND,li1,8.9700,174.0800,0.000000
FILLER_59_3,VGND,li1,7.5900,174.0800,0.000000
FILLER_58_368,VGND,li1,175.2600,168.6400,0.000000
FILLER_58_365,VGND,li1,174.1100,168.6400,0.000000
FILLER_58_363,VGND,li1,172.7300,168.6400,0.000000
FILLER_58_360,VGND,li1,171.8100,168.6400,0.000000
FILLER_58_357,VGND,li1,170.4300,168.6400,0.000000
FILLER_58_354,VGND,li1,169.0500,168.6400,0.000000
FILLER_58_351,VGND,li1,167.6700,168.6400,0.000000
FILLER_58_348,VGND,li1,166.2900,168.6400,0.000000
FILLER_58_345,VGND,li1,164.9100,168.6400,0.000000
FILLER_58_342,VGND,li1,163.5300,168.6400,0.000000
FILLER_58_339,VGND,li1,162.1500,168.6400,0.000000
FILLER_58_336,VGND,li1,160.7700,168.6400,0.000000
FILLER_58_333,VGND,li1,159.3900,168.6400,0.000000
FILLER_58_330,VGND,li1,158.0100,168.6400,0.000000
FILLER_58_327,VGND,li1,156.6300,168.6400,0.000000
FILLER_58_324,VGND,li1,155.2500,168.6400,0.000000
FILLER_58_321,VGND,li1,153.8700,168.6400,0.000000
FILLER_58_318,VGND,li1,152.4900,168.6400,0.000000
FILLER_58_315,VGND,li1,151.1100,168.6400,0.000000
FILLER_58_312,VGND,li1,149.7300,168.6400,0.000000
FILLER_58_309,VGND,li1,148.3500,168.6400,0.000000
FILLER_58_307,VGND,li1,146.9700,168.6400,0.000000
FILLER_58_304,VGND,li1,146.0500,168.6400,0.000000
FILLER_58_301,VGND,li1,144.6700,168.6400,0.000000
FILLER_58_298,VGND,li1,143.2900,168.6400,0.000000
FILLER_58_295,VGND,li1,141.9100,168.6400,0.000000
FILLER_58_292,VGND,li1,140.5300,168.6400,0.000000
FILLER_58_289,VGND,li1,139.1500,168.6400,0.000000
FILLER_58_286,VGND,li1,137.7700,168.6400,0.000000
FILLER_58_283,VGND,li1,136.3900,168.6400,0.000000
FILLER_58_280,VGND,li1,135.0100,168.6400,0.000000
FILLER_58_277,VGND,li1,133.6300,168.6400,0.000000
FILLER_58_274,VGND,li1,132.2500,168.6400,0.000000
FILLER_58_271,VGND,li1,130.8700,168.6400,0.000000
FILLER_58_268,VGND,li1,129.4900,168.6400,0.000000
FILLER_58_265,VGND,li1,128.1100,168.6400,0.000000
FILLER_58_262,VGND,li1,126.7300,168.6400,0.000000
FILLER_58_259,VGND,li1,125.3500,168.6400,0.000000
FILLER_58_256,VGND,li1,123.9700,168.6400,0.000000
FILLER_58_253,VGND,li1,122.5900,168.6400,0.000000
FILLER_58_250,VGND,li1,120.9800,168.6400,0.000000
FILLER_58_247,VGND,li1,119.8300,168.6400,0.000000
FILLER_58_244,VGND,li1,118.4500,168.6400,0.000000
FILLER_58_241,VGND,li1,117.0700,168.6400,0.000000
FILLER_58_238,VGND,li1,115.6900,168.6400,0.000000
FILLER_58_234,VGND,li1,113.3900,168.6400,0.000000
FILLER_58_231,VGND,li1,112.4700,168.6400,0.000000
FILLER_58_223,VGND,li1,108.5600,168.6400,0.000000
FILLER_58_220,VGND,li1,107.4100,168.6400,0.000000
FILLER_58_217,VGND,li1,106.0300,168.6400,0.000000
FILLER_58_214,VGND,li1,104.6500,168.6400,0.000000
FILLER_58_211,VGND,li1,103.2700,168.6400,0.000000
FILLER_58_208,VGND,li1,101.8900,168.6400,0.000000
FILLER_58_203,VGND,li1,99.3600,168.6400,0.000000
FILLER_58_200,VGND,li1,98.2100,168.6400,0.000000
FILLER_58_197,VGND,li1,96.8300,168.6400,0.000000
FILLER_58_195,VGND,li1,95.4500,168.6400,0.000000
FILLER_58_192,VGND,li1,94.5300,168.6400,0.000000
FILLER_58_189,VGND,li1,93.1500,168.6400,0.000000
FILLER_58_183,VGND,li1,90.3900,168.6400,0.000000
FILLER_58_180,VGND,li1,89.0100,168.6400,0.000000
FILLER_58_177,VGND,li1,87.6300,168.6400,0.000000
FILLER_58_174,VGND,li1,86.2500,168.6400,0.000000
FILLER_58_171,VGND,li1,84.8700,168.6400,0.000000
FILLER_58_168,VGND,li1,83.4900,168.6400,0.000000
FILLER_58_165,VGND,li1,82.1100,168.6400,0.000000
FILLER_58_162,VGND,li1,80.7300,168.6400,0.000000
FILLER_58_159,VGND,li1,79.3500,168.6400,0.000000
FILLER_58_156,VGND,li1,77.9700,168.6400,0.000000
FILLER_58_147,VGND,li1,73.6000,168.6400,0.000000
FILLER_58_144,VGND,li1,72.4500,168.6400,0.000000
FILLER_58_141,VGND,li1,71.0700,168.6400,0.000000
FILLER_58_138,VGND,li1,69.4600,168.6400,0.000000
FILLER_58_135,VGND,li1,68.3100,168.6400,0.000000
FILLER_58_132,VGND,li1,66.9300,168.6400,0.000000
FILLER_58_129,VGND,li1,65.5500,168.6400,0.000000
FILLER_58_126,VGND,li1,64.1700,168.6400,0.000000
